I hate 9-5's man. This video sums it up: https://youtu.be/A79n0TFmgjA
https://www.youtube.com/watch?v=g-2NLWU58xk (2:08)
https://youtu.be/QnIbwaJxAJo
https://youtu.be/vrPgsrfZWOU excellent video showing why michael is so special and brilliant in negotiation and sales. Check it out
Hi Guys! Please listen to Laila- https://youtu.be/0bJZe3hnFIQ
"""Michael Scott's Smoke Break Mix 2020: All skits taken from The Office, with a varied hip-hop soundtrack to chill to, vibe to, smoke to, and more! Peep it :) https://soundcloud.com/kevinmorency/michael-scotts-smoke-break-mix-2020"""
🔥😂🧠 https://youtu.be/Rt2lSmgXFis
Türk versiyonu için ;)))) https://youtu.be/340JwWk9O2g
https://youtu.be/r5fC9QlPCW8
"""Please someone help me

https://www.gofundme.com/f/cancer-expenses-for-my-little-sister?utm_medium=copy_link&utm_source=customer&utm_campaign=p_na+share-sheet&rcid=8dcec71497f74ff3b96de7a95604c4f3"""
"""Michael is both extremely smart and stupid at the same time
Guys, check out this song, it's lit  🤘🤘
https://www.youtube.com/watch?v=ZbYw36RXmYE"""
